Melt gden,Temp,Press,Speed
,,,
8.136 ,261.1 ,1010 ,420 
8.130 ,261.1 ,1020 ,420 
8.366 ,261.1 ,1027 ,420 
7.729 ,261.1 ,1025 ,420 
7.982 ,261.1 ,1040 ,420 
8.317 ,261.2 ,1036 ,420 
7.743 ,261.1 ,1033 ,420 
8.060 ,260.4 ,1033 ,420 
7.726 ,260.0 ,1087 ,495 
7.766 ,259.9 ,1094 ,495 
7.879 ,259.9 ,1107 ,495 
7.582 ,259.9 ,1108 ,495 
7.635 ,260.0 ,1109 ,495 
8.287 ,260.4 ,1108 ,490 
7.898 ,260.9 ,1107 ,490 
8.625 ,260.9 ,1109 ,490 
8.462 ,260.9 ,1107 ,490 
7.843 ,260.9 ,1108 ,490 
7.727 ,261.0 ,1110 ,490 
8.014 ,261.0 ,1117 ,480 
7.932 ,261.0 ,1115 ,480 
8.477 ,261.0 ,1114 ,480 
7.979 ,261.0 ,1120 ,480 
7.857 ,261.0 ,1115 ,480 
8.060 ,261.0 ,1114 ,480 
7.722 ,261.0 ,1117 ,480 
7.736 ,261.0 ,1117 ,480 
7.740 ,261.0 ,1114 ,480 
8.006 ,261.0 ,1121 ,480 
8.254 ,260.9 ,1132 ,480 
8.070 ,260.6 ,1140 ,480 
8.477 ,260.8 ,1152 ,480 
7.682 ,260.5 ,1150 ,485 
7.686 ,260.9 ,1151 ,485 
7.899 ,260.9 ,1154 ,485 
8.048 ,260.9 ,1151 ,485 
8.298 ,260.9 ,1154 ,485 
7.934 ,260.9 ,1156 ,485 
8.907 ,260.8 ,1153 ,485 
7.946 ,261.0 ,1144 ,485 
7.694 ,261.0 ,1142 ,485 
7.607 ,261.0 ,1145 ,485 
7.979 ,261.0 ,1144 ,485 
7.982 ,261.0 ,1140 ,485 
7.751 ,261.0 ,1134 ,485 
7.708 ,261.0 ,1137 ,485 
7.580 ,261.0 ,1135 ,485 
7.925 ,261.0 ,1145 ,485 
7.721 ,261.1 ,1131 ,485 
7.992 ,261.1 ,1138 ,485 
8.000 ,260.9 ,1013 ,465 
8.017 ,260.7 ,1022 ,465 
7.863 ,260.8 ,1048 ,465 
7.908 ,260.8 ,1053 ,465 
7.862 ,260.9 ,1042 ,465 
7.910 ,261.0 ,1060 ,465 
7.842 ,260.9 ,1065 ,465 
7.981 ,261.0 ,1060 ,465 
7.681 ,261.0 ,1055 ,465 
7.768 ,260.6 ,1049 ,465 
7.905 ,260.8 ,1050 ,465 
7.687 ,260.9 ,1052 ,465 
7.882 ,260.8 ,1052 ,465 
8.030 ,260.8 ,1048 ,465 
8.185 ,260.9 ,1040 ,465 
7.967 ,261.0 ,1035 ,465 
8.091 ,261.0 ,1047 ,465 
7.929 ,261.0 ,1065 ,465 
7.823 ,261.1 ,1060 ,465 
7.735 ,261.1 ,1072 ,465 
7.760 ,261.0 ,1065 ,465 
7.975 ,261.0 ,1073 ,465 
7.946 ,261.0 ,1052 ,465 
7.511 ,261.0 ,1076 ,465 
7.878 ,261.0 ,1088 ,465 
7.610 ,261.0 ,1088 ,465 
7.628 ,261.0 ,1093 ,465 
7.942 ,261.0 ,1100 ,465 
7.957 ,260.8 ,1114 ,465 
7.701 ,260.5 ,1103 ,465 
8.264 ,261.1 ,1113 ,465 
7.997 ,261.0 ,1111 ,465 
8.336 ,260.9 ,1120 ,465 
7.860 ,261.1 ,1111 ,470 
7.736 ,260.8 ,1111 ,470 
7.930 ,260.8 ,1116 ,470 
7.972 ,260.9 ,1115 ,470 
7.863 ,261.0 ,1130 ,470 
7.785 ,260.8 ,1145 ,470 
7.943 ,260.8 ,1140 ,470 
7.641 ,261.0 ,1135 ,470 
7.807 ,261.0 ,1156 ,470 
7.887 ,261.0 ,1157 ,470 
7.635 ,261.2 ,1178 ,470 
7.776 ,261.2 ,1220 ,470 
7.723 ,260.8 ,1267 ,470 
7.723 ,261.0 ,1340 ,470 
7.806 ,260.9 ,1392 ,470 
7.700 ,261.0 ,1392 ,470 
7.787 ,260.3 ,836 ,440 
7.930 ,260.2 ,857 ,440 
8.569 ,260.4 ,888 ,440 
7.587 ,260.4 ,887 ,450 
7.911 ,260.5 ,893 ,450 
7.731 ,260.4 ,888 ,450 
7.724 ,260.5 ,882 ,450 
7.686 ,260.5 ,893 ,450 
7.774 ,260.5 ,942 ,450 
7.983 ,260.0 ,964 ,450 
8.242 ,260.5 ,967 ,455 
8.099 ,260.1 ,960 ,455 
7.728 ,260.0 ,967 ,455 
7.813 ,260.1 ,965 ,455 
8.198 ,260.0 ,967 ,460 
7.775 ,260.0 ,920 ,480 
8.129 ,260.2 ,925 ,470 
7.875 ,260.2 ,955 ,470 
7.738 ,260.2 ,954 ,470 
7.687 ,260.3 ,977 ,475 
7.553 ,260.2 ,1004 ,485 
7.731 ,260.1 ,1003 ,490 
7.532 ,260.0 ,1002 ,490 
7.936 ,260.1 ,998 ,490 
7.870 ,260.1 ,1000 ,490 
7.503 ,260.0 ,996 ,490 
